Index,avg_price_per_kg
1,8.749737062667482
2,11.401051621328245
3,9.079086207716765
4,8.661872152487003
5,8.605116703897918
6,4.474719195279426
7,4.034990044286214
8,8.605116703897918
9,8.686109733154112
10,9.787468408365983
11,4.319396977890193
12,5.374832621381683
13,8.682403253073531
14,3.974599165328357
15,4.562174863727064
16,6.152941667628271
17,6.1580704705629525
18,4.168612225670611
19,11.020600558315648
20,6.050836893704822
21,5.0549890502804224
22,4.616756110021765
23,5.725605006043938
24,6.515402458907773
25,5.395670423920648
26,6.436814664330971
27,7.745865206706059
28,8.605116703897918
29,8.651258548546785
30,8.459411976475467
31,8.651258548546785
32,6.234910521825786
33,9.817416672581606
34,8.651258548546785
35,4.599845347553708
36,9.869317898847648
37,10.684516133280804
38,11.382466063870101
39,6.724144306634109
40,7.2872606509972275
41,7.58194359956448
42,7.708032547335202
43,6.926250118675705
44,6.109798361519085
45,5.395670423920648
46,5.009348732768922
47,4.953866128186036
48,4.662523732476841
49,6.141386535748752
50,5.142632250843043
51,1.7791064803982564
52,6.0982350618856564
53,6.872150940427393
54,14.097674005495712
55,7.598139265138424
56,7.144216218385103
57,8.651258548546785
58,8.686109733154112
59,8.636261408424662
60,6.394090178783688
61,7.547426165450519
62,11.350400508314548
63,6.157117423122777
64,8.69672333709433
65,7.164337532608199
66,6.437773310752667
67,6.2355550668660795
68,4.947081884065157
69,5.37160547852454
70,8.749737062667482
71,6.601154532075683
72,4.168612225670611
73,3.8391284687176777
74,6.949098161238962
75,6.23126670707772
76,4.346524784891452
77,6.147603137744317
78,8.69672333709433
79,10.684516133280804
80,6.157117423122777
81,6.855265540665322
82,4.953866128186036
83,6.112412490212455
84,5.06780457943053
85,1.5442224459907032
86,7.493289309361699
87,6.856081115344604
88,11.350400508314548
89,5.795984333881218
90,6.213939783502292
91,9.079086207716765
92,9.83731673309543
93,7.50347791625854
94,6.431102758974923
95,6.4787839356959775
96,6.117290416715058
97,8.605116703897918
98,8.732251577802979
99,6.236079532522267
100,5.395670423920648
101,10.684516133280804
102,6.0852050877501265
103,5.667716090690654
104,8.651258548546785
105,8.59469139428
106,8.615730307838136
107,7.490863517274939
108,3.331841899079203
109,9.079086207716765
110,4.962944366566846
111,3.781656849218251
112,6.571097799929739
113,6.148772148440799
114,4.321082660243786
115,7.178204535559501
116,9.079086207716765
117,6.110988660723313
118,8.716098505844755
119,4.505344558881557
120,7.472771786596809
121,6.047164781023232
122,5.06851402818439
123,9.079086207716765
124,4.470844282531931
125,8.705484901904539
